id,freq
transporter changes,29.551743220807968
cholestasis,23.602656336469284
nuclear receptor changes,12.285556170448258
intracellular bile acid accumulation,7.055893746541228
bile acid synthesis changes,5.617044825677919
oxidative stress,5.285002767017156
inflammation,4.5655783065855005
apoptosis,2.2966242390702822
bile acid metabolism changes,1.9092418372993916
nuclear receptor activation,1.383508577753182
ER stress/unfolded protein response,1.2174875484228
bile canalicular changes,1.162147205312673
necrosis,1.079136690647482
tight junction disruption,0.387382401770891
Cytoskeleton integrity disruption,0.2213613724405091
